34.0,MATEHUALA,SAN LUIS POTOSÍ,CATORCE,15.82,17.58,16.74,
,,,VILLA DE GUADALUPE,15.82,17.58,16.74,
,,,VANEGAS,15.82,17.58,16.74,
,,,CEDRAL,15.82,17.58,16.74,
,,,MATEHUALA,15.82,17.58,16.74,
,,,VILLA DE LA PAZ,15.82,17.58,16.74,
,,NUEVO LEÓN,MIER Y NORIEGA,15.82,17.58,16.74,
,,,DOCTOR ARROYO,15.82,17.58,16.74,
35.0,MAZATLAN,SINALOA,ELOTA,15.79,17.54,16.73,
,,,ESCUINAPA,15.79,17.54,16.73,
,,,ROSARIO,15.79,17.54,16.73,
,,,CONCORDIA,15.79,17.54,16.73,
,,,MAZATLAN,15.79,17.54,16.73,
,,NAYARIT,TUXPAN,15.79,17.54,16.73,
36.0,MERIDA,YUCATÁN,RIO LAGARTOS,15.27,17.04,16.19,
,,,CHEMAX,15.27,17.04,16.19,
,,,ESPITA,15.27,17.04,16.19,
,,,TEMOZON,15.27,17.04,16.19,
,,,VALLADOLID,15.27,17.04,16.19,
,,,PETO,15.27,17.04,16.19,
,,,TZUCACAB,15.27,17.04,16.19,
,,,TINUM,15.27,17.04,16.19,
,,,DZILAM DE BRAVO,15.27,17.04,16.19,
,,,TEKAX,15.27,17.04,16.19,
,,,OXKUTZCAB,15.27,17.04,16.19,
,,,AKIL,15.27,17.04,16.19,
,,,CACALCHEN,15.27,17.04,16.19,
,,,CHUMAYEL,15.27,17.04,16.19,
,,,IZAMAL,15.27,17.04,16.19,
,,,CANSAHCAB,15.27,17.04,16.19,
,,,CELESTUN,15.27,17.04,16.19,
,,,TELCHAC PUEBLO,15.27,17.04,16.19,
,,,TICUL,15.27,17.04,16.19,
,,,MAXCANU,15.27,17.04,16.19,
,,,SUMA,15.27,17.04,16.19,
,,,TEKANTO,15.27,17.04,16.19,
,,,MOTUL,15.27,17.04,16.19,
,,,HOCTUN,15.27,17.04,16.19,
,,,MUNA,15.27,17.04,16.19,
,,,KOPOMA,15.27,17.04,16.19,
,,,HUNUCMA,15.27,17.04,16.19,
,,,TIXKOKOB,15.27,17.04,16.19,
,,,ACANCEH,15.27,17.04,16.19,
,,,KINCHIL,15.27,17.04,16.19,
,,,KANASIN,15.27,17.04,16.19,
,,,MERIDA,15.27,17.04,16.19,
,,,MAYAPAN,15.27,17.04,16.19,
,,,UMAN,15.27,17.04,16.19,
,,QUINTANA ROO,JOSE MARIA MORELOS,15.27,17.04,16.19,
38.0,MINATITLAN,VERACRUZ DE IGNACIO DE LA LLAVE,SAYULA DE ALEMAN,15.32,17.06,16.21,
,,,CHINAMECA,15.32,17.06,16.21,
,,,ACAYUCAN,15.32,17.06,16.21,
,,,ZARAGOZA,15.32,17.06,16.21,
,,,MECAYAPAN,15.32,17.06,16.21,
,,,MINATITLAN,15.32,17.06,16.21,
,,,TEXISTEPEC,15.32,17.06,16.21,
39.0,MONCLOVA,COAHUILA DE ZARAGOZA,ESCOBEDO,15.88,17.63,16.8,
,,,SACRAMENTO,15.88,17.63,16.8,
,,,CASTAÑOS,15.88,17.63,16.8,
,,,NADADORES,15.88,17.63,16.8,
,,,SAN BUENAVENTURA,15.88,17.63,16.8,
,,,MONCLOVA,15.88,17.63,16.8,
,,,FRONTERA,15.88,17.63,16.8,
40.0,MORELIA,MICHOACÁN DE OCAMPO,IRIMBO,16.0,17.76,16.91,
,,,SALVADOR ESCALANTE,16.0,17.76,16.91,
,,,ERONGARICUARO,16.0,17.76,16.91,
,,,MARAVATIO,16.0,17.76,16.91,
,,,TZITZIO,16.0,17.76,16.91,
,,,ANGAMACUTIRO,16.0,17.76,16.91,
,,,PATZCUARO,16.0,17.76,16.91,
,,,HIDALGO,16.0,17.76,16.91,
,,,MADERO,16.0,17.76,16.91,
,,,PURUANDIRO,16.0,17.76,16.91,
,,,TZINTZUNTZAN,16.0,17.76,16.91,
,,,HUIRAMBA,16.0,17.76,16.91,
,,,QUIROGA,16.0,17.76,16.91,
,,,LAGUNILLAS,16.0,17.76,16.91,
,,,ACUITZIO,16.0,17.76,16.91,
,,,QUERENDARO,16.0,17.76,16.91,
,,,ZINAPECUARO,16.0,17.76,16.91,
,,,MORELOS,16.0,17.76,16.91,
,,,COENEO,16.0,17.76,16.91,
,,,HUANIQUEO,16.0,17.76,16.91,
,,,INDAPARAPEO,16.0,17.76,16.91,
,,,SANTA ANA MAYA,16.0,17.76,16.91,
,,,CHARO,16.0,17.76,16.91,
,,,HUANDACAREO,16.0,17.76,16.91,
,,,ALVARO OBREGON,16.0,17.76,16.91,
,,,MORELIA,16.0,17.76,16.91,
,,,TARIMBARO,16.0,17.76,16.91,
,,,CUITZEO,16.0,17.76,16.91,
,,GUANAJUATO,URIANGATO,16.0,17.76,16.91,
,,,MOROLEON,16.0,17.76,16.91,
43.0,NUEVO LAREDO,TAMAULIPAS,NUEVO LAREDO,15.88,17.63,16.8,
44.0,OAXACA,OAXACA,SANTA MARIA LA ASUNCION,15.77,17.51,16.69,
,,,HEROICA CIUDAD DE TLAXIACO,15.77,17.51,16.69,
,,,SAN JUAN TEPOSCOLULA,15.77,17.51,16.69,
,,,SAN JUAN LACHAO,15.77,17.51,16.69,
,,,TAMAZULAPAM DEL ESPIRITU SANTO,15.77,17.51,16.69,
,,,VILLA DE CHILAPA DE DIAZ,15.77,17.51,16.69,
,,,SANTO DOMINGO TEOJOMULCO,15.77,17.51,16.69,
,,,TEPELMEME VILLA DE MORELOS,15.77,17.51,16.69,
,,,VILLA TEJUPAM DE LA UNION,15.77,17.51,16.69,
,,,ASUNCION NOCHIXTLAN,15.77,17.51,16.69,
,,,MIAHUATLAN DE PORFIRIO DIAZ,15.77,17.51,16.69,
,,,SANTA MARIA LACHIXIO,15.77,17.51,16.69,
,,,IXTLAN DE JUAREZ,15.77,17.51,16.69,
,,,SAN PEDRO Y SAN PABLO AYUTLA,15.77,17.51,16.69,
,,,HEROICA CIUDAD DE EJUTLA DE CRESPO,15.77,17.51,16.69,
,,,ZIMATLAN DE ALVAREZ,15.77,17.51,16.69,
,,,AYOQUEZCO DE ALDAMA,15.77,17.51,16.69,
,,,SAN PEDRO APOSTOL,15.77,17.51,16.69,
,,,SANTA CRUZ MIXTEPEC,15.77,17.51,16.69,
,,,SAN PABLO HUITZO,15.77,17.51,16.69,
